"1"," حدثنا محمد بن يوسف عن سفيان عن الأعمش عن أبي وائل عن عبد الله قال جاء رجل إلى رسول الله صلى الله عليه وسلم فقال يا رسول الله أيؤاخذ الرجل بما عمل في الجاهلية قال من أحسن في الإسلام لم يؤاخذ بما كان عمل في الجاهلية ومن أساء في الإسلام أخذ بالأول والآخر "
"2"," أخبرنا الوليد بن النضر الرملي عن مسرة بن معبد من بني الحارث بن أبي الحرام من لخم عن الوضين أن رجلا أتى النبي صلى الله عليه وسلم فقال يا رسول الله إنا كنا أهل جاهلية وعبادة أوثان فكنا نقتل الأولاد وكانت عندي ابنة لي فلما أجابت وكانت مسرورة بدعائي إذا دعوتها فدعوتها يوما فاتبعتني فمررت حتى أتيت بئرا من أهلي غير بعيد فأخذت بيدها فرديت بها في البئر وكان آخر عهدي بها أن تقول يا أبتاه يا أبتاه فبكى رسول الله صلى الله عليه وسلم حتى وكف دمع عينيه فقال له رجل من جلساء رسول الله صلى الله عليه وسلم أحزنت رسول الله صلى الله عليه وسلم فقال له كف فإنه يسأل عما أهمه ثم قال له أعد علي حديثك فأعاده فبكى حتى وكف الدمع من عينيه على لحيته ثم قال له إن الله قد وضع عن الجاهلية ما عملوا فاستأنف عملك "
"3"," أخبرنا هارون بن معاوية عن إبراهيم بن سليمان المؤدب عن الأعمش عن مجاهد قال حدثني مولاي أن أهله بعثوا معه بقدح فيه زبد ولبن إلى آلهتهم قال فمنعني أن آكل الزبد لمخافتها قال فجاء كلب فأكل الزبد وشرب اللبن ثم بال على الصنم وهو إساف ونائلة قال هارون كان الرجل في الجاهلية إذا سافر حمل معه أربعة أحجار ثلاثة لقدره والرابع يعبده ويربي كلبه ويقتل ولده "
"4"," حدثنا مجاهد بن موسى حدثنا ريحان هو ابن سعيد السامي حدثنا عباد هو ابن منصور عن أبي رجاء قال كنا في الجاهلية إذا أصبنا حجرا حسنا عبدناه وإن لم نصب حجرا جمعنا كثبة من رمل ثم جئنا بالناقة الصفي فتفاج عليها فنحلبها على الكثبة حتى نرويها ثم نعبد تلك الكثبة ما أقمنا بذلك المكان قال أبو محمد الصفي الكثيرة الألبان "
"5"," أخبرنا الحسن بن الربيع حدثنا أبو الأحوص عن الأعمش عن أبي صالح قال قال كعب نجده مكتوبا محمد رسول الله صلى الله عليه وسلم لا فظ ولا غليظ ولا صخاب بالأسواق ولا يجزي بالسيئة السيئة ولكن يعفو ويغفر وأمته الحمادون يكبرون الله عز وجل على كل نجد ويحمدونه في كل منزلة ويتأزرون على أنصافهم ويتوضئون على أطرافهم مناديهم ينادي في جو السماء صفهم في القتال وصفهم في الصلاة سواء لهم بالليل دوي كدوي النحل ومولده بمكة ومهاجره بطابة وملكه بالشام "
"6"," حدثنا عبد الله بن صالح حدثني الليث حدثني خالد هو ابن يزيد عن سعيد هو ابن أبي هلال عن هلال بن أسامة عن عطاء بن يسار عن ابن سلام أنه كان يقول إنا لنجد صفة رسول الله صلى الله عليه وسلم إنا أرسلناك شاهدا ومبشرا ونذيرا وحرزا للأميين أنت عبدي ورسولي سميته المتوكل ليس بفظ ولا غليظ ولا صخاب بالأسواق ولا يجزي بالسيئة مثلها ولكن يعفو ويتجاوز ولن أقبضه حتى نقيم الملة المتعوجة بأن تشهد أن لا إله إلا الله يفتح به أعينا عميا وآذانا صما وقلوبا غلفا قال عطاء بن يسار وأخبرني أبو واقد الليثي أنه سمع كعبا يقول مثل ما قال ابن سلام "
"7"," أخبرنا زيد بن عوف قال وحدثنا أبو عوانة عن عبد الملك بن عمير عن ذكوان أبي صالح عن كعب في السطر الأول محمد رسول الله عبدي المختار لا فظ ولا غليظ ولا صخاب في الأسواق ولا يجزي بالسيئة السيئة ولكن يعفو ويغفر مولده بمكة وهجرته بطيبة وملكه بالشام وفي السطر الثاني محمد رسول الله أمته الحمادون يحمدون الله في السراء والضراء يحمدون الله في كل منزلة ويكبرون على كل شرف رعاة الشمس يصلون الصلاة إذا جاء وقتها ولو كانوا على رأس كناسة ويأتزرون على أوساطهم ويوضئون أطرافهم وأصواتهم بالليل في جو السماء كأصوات النحل "
"8"," أخبرنا مجاهد بن موسى حدثنا معن بن عيسى حدثنا معاوية بن صالح عن أبي فروة عن ابن عباس أنه سأل كعب الأحبار كيف تجد نعت رسول الله صلى الله عليه وسلم في التوراة فقال كعب نجده محمد بن عبد الله يولد بمكة ويهاجر إلى طابة ويكون ملكه بالشام وليس بفحاش ولا صخاب في الأسواق ولا يكافئ بالسيئة السيئة ولكن يعفو ويغفر أمته الحمادون يحمدون الله في كل سراء وضراء ويكبرون الله على كل نجد يوضئون أطرافهم ويأتزرون في أوساطهم يصفون في صلواتهم كما يصفون في قتالهم دويهم في مساجدهم كدوي النحل يسمع مناديهم في جو السماء "
"9"," أخبرنا حيوة بن شريح حدثنا بقية بن الوليد الميثمي حدثنا بحير بن سعد عن خالد بن معدان عن جبير بن نفير الحضرمي أن رسول الله صلى الله عليه وسلم قال لقد جاءكم رسول إليكم ليس بوهن ولا كسل ليختن قلوبا غلفا ويفتح أعينا عميا ويسمع آذانا صما ويقيم ألسنة عوجا حتى يقال لا إله إلا الله وحده "
"10"," أخبرنا محمد بن يزيد الحزامي حدثنا إسحق بن سليمان عن عمرو بن أبي قيس عن عطاء قال كان رجل من أصحاب النبي صلى الله عليه وسلم له إليه حاجة فمشى معه حتى دخل قال فإحدى رجليه في البيت والأخرى خارجه كأنه يناجي فالتفت فقال أتدري من كنت أكلم إن هذا ملك لم أره قط قبل يومي هذا استأذن ربه أن يسلم علي قال إنا آتيناك أو أنزلنا القرآن فصلا والسكينة صبرا والفرقان وصلا "
